Period,Total Attendances,Number of patients spending >4 hours from decision to admit to admission,Total Emergency Admissions
2010-08-01,1752381.0,3697.0,425702.0
2010-09-01,1756268.0,5907.0,424900.0
2010-10-01,1801348.0,6932.0,436215.0
2010-11-01,1651027.42857143,7179.0,429099.0
2010-12-01,1737741.14285714,13818.1428571429,452728.714285714
2011-01-01,1727796.71428571,13162.0,442003.714285714
2011-02-01,1599364.0,7872.42857142858,401206.428571429
2011-03-01,1863441.0,8602.14285714286,446845.571428571
2011-04-01,1844374.85714286,7530.57142857142,419243.285714286
2011-05-01,1873695.14285714,7308.57142857143,427276.571428571
2011-06-01,1785417.28571429,7059.57142857143,413320.857142858
2011-07-01,1864959.42857143,5644.57142857143,425797.857142857
2011-08-01,1758108.28571429,4990.28571428572,410554.285714286
2011-09-01,1781210.57142857,7459.71428571429,410760.857142857
2011-10-01,1848912.42857143,9078.14285714286,435080.142857143
2011-11-01,1741440.85714286,8940.71428571428,424887.0
2011-12-01,1732045.85714286,10945.8571428571,441655.285714286
2012-01-01,1737518.0,14146.5714285714,436198.857142857
2012-02-01,1704231.71428571,15698.4285714286,420552.571428571
2012-03-01,1933152.85714286,10198.7142857143,454396.0
2012-04-01,1769523.28571429,10131.7142857143,424128.857142857
2012-05-01,1929570.42857143,8680.57142857143,443877.428571429
2012-06-01,1887841.28571429,8409.28571428571,426005.714285714
2012-07-01,1924523.28571429,7264.85714285714,444955.0
2012-08-01,1845142.28571429,7127.85714285714,425172.571428571
2012-09-01,1788490.85714286,9022.28571428571,421778.428571428
2012-10-01,1832304.28571429,11088.7142857143,446302.714285714
2012-11-01,1755605.14285714,11561.0,435309.571428572
2012-12-01,1822425.57142857,16505.1428571429,451180.714285714
2013-01-01,1733118.42857143,19709.2857142857,437210.0
2013-02-01,1648748.42857143,18973.7142857143,404950.714285714
2013-03-01,1865084.14285714,24395.1428571429,453638.285714286
2013-04-01,1831420.42857143,23485.4285714286,429244.714285714
2013-05-01,1891670.28571429,9651.85714285714,437698.142857143
2013-06-01,1831036.28571428,8381.71428571429,423199.142857143
2013-07-01,1976288.85714286,9303.14285714286,443851.142857143
2013-08-01,1840591.14285714,10438.5714285714,426909.0
2013-09-01,1768748.71428571,13382.7142857143,427778.571428571
2013-10-01,1829429.28571428,13851.7142857143,449631.285714286
2013-11-01,1733036.57142857,11903.5714285714,441624.285714286
2013-12-01,1782029.14285714,15115.4285714286,462417.714285714
2014-01-01,1739538.85714286,19000.8571428571,457387.857142857
2014-02-01,1661814.42857143,19236.4285714286,420487.142857143
2014-03-01,1957340.85714286,15130.0,467851.285714286
2014-04-01,1877675.85714286,15829.2857142857,448681.571428571
2014-05-01,1978028.42857143,17822.4285714286,466071.0
2014-06-01,1942268.0,14724.1428571429,450817.285714286
2014-07-01,1993630.85714286,16615.7142857143,463122.142857143
2014-08-01,1817310.0,15736.0,441757.714285714
2014-09-01,1853285.71428571,19611.0,446126.0
2014-10-01,1892374.0,24941.1428571429,469268.0
2014-11-01,1830460.28571429,25663.8571428571,464342.0
2014-12-01,1901227.0,45982.1428571428,484360.714285714
2015-01-01,1732067.0,44902.8571428572,463400.857142857
2015-02-01,1654846.42857143,33137.1428571428,424634.714285714
2015-03-01,1942967.0,30768.1428571429,474940.714285715
2015-04-01,1873167.71428571,27995.8571428571,450253.428571429
2015-05-01,1937468.85714286,23523.8571428571,468415.571428571
2015-06-01,1911209.0,19065.0,458790.0
2015-07-01,1952895.0,17275.0,473914.0
2015-08-01,1865139.0,20030.0,455432.0
2015-09-01,1859979.0,25883.0,464195.0
2015-10-01,1923108.0,31582.0,479987.0
2015-11-01,1874235.0,34170.0,475564.0
2015-12-01,1867652.0,32939.0,487798.0
2016-01-01,1906920.42857143,51571.0,484833.0
2016-02-01,1870776.0,50066.0,462864.0
2016-03-01,2087553.0,53640.0,494076.0
2016-04-01,1867781.0,38632.0,460209.0
2016-05-01,2070340.0,38203.0,493191.0
2016-06-01,1958802.0,35300.0,480210.0
2016-07-01,2079034.0,37466.0,490221.0
2016-08-01,1932901.0,34253.0,470554.0
2016-09-01,1952464.0,35694.0,475808.0
2016-10-01,2001816.0,48816.0,492983.0
2016-11-01,1907871.0,52988.0,489326.0
2016-12-01,1944567.0,61729.0,497915.0
2017-01-01,1895272.0,79551.0,492273.0
2017-02-01,1735619.0,54491.0,447688.0
2017-03-01,2015834.0,42970.0,509805.0
2017-04-01,1949762.0,33923.0,471328.0
2017-05-01,2066789.0,40296.0,505843.0
2017-06-01,1994056.0,34476.0,491206.0
2017-07-01,2073944.0,37258.0,499259.0
2017-08-01,1924663.0,37164.0,486074.0
2017-09-01,1925961.0,42157.0,486799.0
2017-10-01,2044137.0,45500.0,513217.0
2017-11-01,1976971.0,48623.0,513019.0
2017-12-01,2003954.0,69086.0,520803.0
2018-01-01,2000086.0,81231.0,526045.0
2018-02-01,1820012.0,68712.0,476867.0
2018-03-01,2049785.0,76233.0,526066.0
2018-04-01,1984369.0,48004.0,503393.0
2018-05-01,2164458.0,39236.0,533457.0
2018-06-01,2093942.0,33750.0,513254.0
2018-07-01,2179896.0,42823.0,529932.0
2018-08-01,1997854.0,40214.0,517299.0
2018-09-01,2005695.0,44582.0,510322.0
2018-10-01,2079492.0,49014.0,546022.0
2018-11-01,2037847.0,54373.0,545357.0
2018-12-01,2047518.0,59805.0,544903.0
2019-01-01,2113413.0,83554.0,564035.0
2019-02-01,1954947.0,70815.0,505722.0
2019-03-01,2167551.0,59510.0,555457.0
2019-04-01,2112165.0,66933.0,535226.0
2019-05-01,2172006.0,61507.0,547382.0
2019-06-01,2107987.0,57671.0,528801.0
2019-07-01,2265050.0,58532.0,554069.0
2019-08-01,2125435.0,56498.0,529231.0
2019-09-01,2123345.0,64924.0,529903.0
2019-10-01,2170885.0,80091.0,563133.0
2019-11-01,2143505.0,88922.0,559556.0
2019-12-01,2180537.0,98461.0,560795.0
2020-01-01,2114709.0,100579.0,559058.0
2020-02-01,1969691.0,78646.0,510811.0
2020-03-01,1531801.0,51790.0,427968.0
2020-04-01,916575.0,15720.0,326581.0
2020-05-01,1261837.0,13457.0,398406.0
2020-06-01,1410602.0,17881.0,437601.0
2020-07-01,1588286.0,21025.0,473226.0
2020-08-01,1719003.0,32159.0,474225.0
2020-09-01,1693880.0,44996.0,479855.0
2020-10-01,1599347.0,66794.0,481846.0
2020-11-01,1485176.0,71041.0,453916.0
2020-12-01,1474674.0,89927.0,460260.0
2021-01-01,1310806.0,95695.0,445600.0
2021-02-01,1278091.0,57152.0,422424.0
2021-03-01,1691282.0,50972.0,503926.0
