Period,Total Attendances,Total Emergency Admissions,Patients Waiting Over 4 Hours for Admission,Pressure Score,Occupancy Rate
2010-08-01,1752381.0,425702.0,3697.0,0.42864487496483755,
2010-09-01,1756268.0,424900.0,5907.0,0.4317802822827847,
2010-10-01,1801348.0,436215.0,6932.0,0.4525784182316608,
2010-11-01,1651027.4285714284,429099.0000000002,7179.000000000005,0.42050572882580656,
2010-12-01,1737741.1428571432,452728.7142857142,13818.142857142859,0.4694588491535483,
2011-01-01,1727796.7142857143,442003.71428571444,13162.000000000005,0.45568419008039196,
2011-02-01,1599364.000000001,401206.4285714287,7872.428571428576,0.38398597419503144,
2011-03-01,1863441.0,446845.5714285715,8602.142857142855,0.4764713579911687,
2011-04-01,1844374.8571428566,419243.2857142858,7530.571428571423,0.4430354316555233,
2011-05-01,1873695.142857144,427276.5714285713,7308.571428571426,0.4559271909420176,
2011-06-01,1785417.2857142866,413320.8571428575,7059.5714285714275,0.42635299907863666,
2011-07-01,1864959.428571428,425797.8571428571,5644.571428571432,0.4504365923406173,
2011-08-01,1758108.2857142854,410554.28571428586,4990.2857142857165,0.41582080904181545,
2011-09-01,1781210.5714285718,410760.8571428571,7459.714285714285,0.4235958574389609,
2011-10-01,1848912.4285714284,435080.1428571428,9078.142857142857,0.4625533785916289,
2011-11-01,1741440.8571428573,424886.99999999977,8940.714285714283,0.433852339733553,
2011-12-01,1732045.8571428566,441655.2857142858,10945.85714285714,0.4527018248014406,
2012-01-01,1737518.0,436198.8571428573,14146.571428571431,0.4527589597701801,
2012-02-01,1704231.714285714,420552.5714285715,15698.428571428578,0.43330236896708507,
2012-03-01,1933152.8571428568,454396.0,10198.714285714284,0.498327001789017,
2012-04-01,1769523.2857142854,424128.85714285733,10131.714285714292,0.4395358692650887,
2012-05-01,1929570.4285714282,443877.4285714286,8680.571428571426,0.48453223943047075,
2012-06-01,1887841.2857142857,426005.7142857141,8409.285714285714,0.45861980454637974,
2012-07-01,1924523.2857142868,444954.9999999998,7264.857142857144,0.4826826151272329,
2012-08-01,1845142.2857142854,425172.5714285713,7127.857142857141,0.44871231149468427,
2012-09-01,1788490.8571428568,421778.42857142846,9022.285714285714,0.4385916891278562,
2012-10-01,1832304.2857142864,446302.71428571426,11088.714285714292,0.47445280003463053,
2012-11-01,1755605.142857143,435309.5714285716,11560.999999999998,0.4509670658871352,
2012-12-01,1822425.5714285711,451180.71428571426,16505.142857142866,0.4860053184548736,
2013-01-01,1733118.4285714284,437210.0000000002,19709.285714285714,0.46143124530661916,
2013-02-01,1648748.4285714282,404950.7142857142,18973.714285714286,0.4127806040199457,
2013-03-01,1865084.142857143,453638.2857142861,24395.14285714285,0.5075193497909054,
2013-04-01,1831420.4285714282,429244.7142857144,23485.428571428583,0.4752234446185791,
2013-05-01,1891670.2857142868,437698.1428571429,9651.857142857141,0.4732600360728034,
2013-06-01,1831036.285714285,423199.14285714267,8381.71428571429,0.44619620857493036,
2013-07-01,1976288.857142857,443851.1428571428,9303.142857142857,0.49322805083745835,
2013-08-01,1840591.1428571427,426908.9999999999,10438.571428571422,0.45472916632917515,
2013-09-01,1768748.7142857143,427778.5714285715,13382.714285714286,0.4480783355907235,
2013-10-01,1829429.2857142847,449631.2857142857,13851.714285714279,0.4815787529045251,
2013-11-01,1733036.571428572,441624.2857142856,11903.571428571424,0.45427346676955316,
2013-12-01,1782029.1428571427,462417.71428571426,15115.428571428576,0.4888463870027535,
2014-01-01,1739538.8571428573,457387.85714285733,19000.857142857145,0.48237957557905575,
2014-02-01,1661814.4285714277,420487.14285714284,19236.42857142857,0.43147831838363815,
2014-03-01,1957340.8571428587,467851.2857142859,15129.99999999999,0.5237318185728697,
2014-04-01,1877675.8571428566,448681.57142857136,15829.285714285717,0.49160635592667656,
2014-05-01,1978028.4285714282,466070.99999999965,17822.42857142857,0.529377201693342,
2014-06-01,1942267.999999999,450817.2857142855,14724.142857142859,0.5029302340301648,
2014-07-01,1993630.8571428566,463122.1428571426,16615.714285714283,0.5271048185520057,
2014-08-01,1817309.9999999995,441757.7142857144,15736.0,0.4742171969235234,
2014-09-01,1853285.7142857146,446126.0000000001,19611.000000000007,0.49056902435000294,
2014-10-01,1892374.0000000002,469267.9999999998,24941.142857142873,0.5291105221577989,
2014-11-01,1830460.2857142866,464341.99999999977,25663.857142857145,0.5147626644301693,
2014-12-01,1901226.9999999993,484360.7142857144,45982.14285714284,0.5778582884816784,
2015-01-01,1732066.9999999995,463400.8571428571,44902.85714285716,0.5262844723073535,
2015-02-01,1654846.4285714282,424634.71428571414,33137.14285714285,0.4555029334726126,
2015-03-01,1942967.0000000005,474940.71428571455,30768.142857142862,0.5521851368461639,
2015-04-01,1873167.7142857148,450253.4285714285,27995.85714285713,0.5107627280465266,
2015-05-01,1937468.8571428577,468415.5714285715,23523.857142857138,0.5336140006113997,
2015-06-01,1911209.0,458790.0,19065.0,0.5125482795654764,
2015-07-01,1952895.0,473914.0,17275.0,0.5325052804582542,
2015-08-01,1865139.0,455432.0,20030.0,0.502832897775056,
2015-09-01,1859979.0,464195.0,25883.0,0.5198600033510333,
2015-10-01,1923108.0,479987.0,31582.0,0.5553346974490877,
2015-11-01,1874235.0,475564.0,34170.0,0.5464847655410963,
2015-12-01,1867652.0,487798.0,32939.0,0.5562356565997589,
2016-01-01,1906920.42857143,484833.0,51571.0,0.5876930590617003,
2016-02-01,1870776.0,462864.0,50066.0,0.5566058137051877,
2016-03-01,2087553.0,494076.0,53640.0,0.6305053438546617,
2016-04-01,1867781.0,460209.0,38632.0,0.5361749659569844,
2016-05-01,2070340.0,493191.0,38203.0,0.6035281793916771,
2016-06-01,1958802.0,480210.0,35300.0,0.5671013998373987,
2016-07-01,2079034.0,490221.0,37466.0,0.6007878291900771,
2016-08-01,1932901.0,470554.0,34253.0,0.5511891663885042,
2016-09-01,1952464.0,475808.0,35694.0,0.5620679691921275,
2016-10-01,2001816.0,492983.0,48816.0,0.6078321906032286,
2016-11-01,1907871.0,489326.0,52988.0,0.5946433238270561,
2016-12-01,1944567.0,497915.0,61729.0,0.6228054707858621,
2017-01-01,1895272.0,492273.0,79551.0,0.6355043328070015,
2017-02-01,1735619.0,447688.0,54491.0,0.5249716664439837,
2017-03-01,2015834.0,509805.0,42970.0,0.6188464416304063,
2017-04-01,1949762.0,471328.0,33923.0,0.5543074627937988,
2017-05-01,2066789.0,505843.0,40296.0,0.6192116043192804,
2017-06-01,1994056.0,491206.0,34476.0,0.5831529313965357,
2017-07-01,2073944.0,499259.0,37258.0,0.609007264856541,
2017-08-01,1924663.0,486074.0,37164.0,0.5702967139972899,
2017-09-01,1925961.0,486799.0,42157.0,0.5787659737370837,
2017-10-01,2044137.0,513217.0,45500.0,0.630906287852102,
2017-11-01,1976971.0,513019.0,48623.0,0.624195671921583,
2017-12-01,2003954.0,520803.0,69086.0,0.6675118226577208,
2018-01-01,2000086.0,526045.0,81231.0,0.6905516789115612,
2018-02-01,1820012.0,476867.0,68712.0,0.5906868044521696,
2018-03-01,2049785.0,526066.0,76233.0,0.691350272619338,
2018-04-01,1984369.0,503393.0,48004.0,0.6145083916687226,
2018-05-01,2164458.0,533457.0,39236.0,0.6625606177067556,
2018-06-01,2093942.0,513254.0,33750.0,0.6215963898137751,
2018-07-01,2179896.0,529932.0,42823.0,0.666863912083274,
2018-08-01,1997854.0,517299.0,40214.0,0.6194870747034275,
2018-09-01,2005695.0,510322.0,44582.0,0.6201144005290228,
2018-10-01,2079492.0,546022.0,49014.0,0.6761263281517809,
2018-11-01,2037847.0,545357.0,54373.0,0.6765442141811027,
2018-12-01,2047518.0,544903.0,59805.0,0.6858450337029268,
2019-01-01,2113413.0,564035.0,83554.0,0.7523618217559905,
2019-02-01,1954947.0,505722.0,70815.0,0.6462874203887293,
2019-03-01,2167551.0,555457.0,59510.0,0.7163649777857128,
2019-04-01,2112165.0,535226.0,66933.0,0.6972855660527161,
2019-05-01,2172006.0,547382.0,61507.0,0.7117265827467092,
2019-06-01,2107987.0,528801.0,57671.0,0.6760074471452885,
2019-07-01,2265050.0,554069.0,58532.0,0.7297081572186553,
2019-08-01,2125435.0,529231.0,56498.0,0.6776002198932977,
2019-09-01,2123345.0,529903.0,64924.0,0.6906067072329519,
2019-10-01,2170885.0,563133.0,80091.0,0.755804051505956,
2019-11-01,2143505.0,559556.0,88922.0,0.7607931656011826,
2019-12-01,2180537.0,560795.0,98461.0,0.7825816305140715,
2020-01-01,2114709.0,559058.0,100579.0,0.7729870570387649,
2020-02-01,1969691.0,510811.0,78646.0,0.6657906304268524,
2020-03-01,1531801.0,427968.0,51790.0,0.46647113481504887,
2020-04-01,916575.0,326581.0,15720.0,0.2045024120548174,
2020-05-01,1261837.0,398406.0,13457.0,0.33320341405363296,
2020-06-01,1410602.0,437601.0,17881.0,0.4053277487213136,
2020-07-01,1588286.0,473226.0,21025.0,0.47664478533186705,
2020-08-01,1719003.0,474225.0,32159.0,0.516197260046815,
2020-09-01,1693880.0,479855.0,44996.0,0.5371361598496415,
2020-10-01,1599347.0,481846.0,66794.0,0.5561887874937004,
2020-11-01,1485176.0,453916.0,71041.0,0.5145484213966001,
2020-12-01,1474674.0,460260.0,89927.0,0.4078050143655118,0.8670529178921298
2021-01-01,1310806.0,445600.0,95695.0,0.389065211326295,0.8729213825526728
2021-02-01,1278091.0,422424.0,57152.0,0.2479868312678994,0.8521000844640918
2021-03-01,1691282.0,503926.0,50972.0,0.38422140815642203,0.8490161591733538
2021-04-01,1866232.0,510262.0,48719.0,0.4517394127398362,0.862656964248699
2021-05-01,2075542.0,543965.0,57308.0,0.5822027360154997,0.8811574827768374
2021-06-01,2157132.0,535402.0,66621.0,0.6250846141710602,0.8905371776719441
2021-07-01,2160128.0,532712.0,89762.0,0.6659587332712387,0.8937975736125029
2021-08-01,2035967.0,503886.0,96008.0,0.6387047467057438,0.8992204306800997
2021-09-01,2127204.0,507086.0,104873.0,0.6973056202977232,0.9095991460849899
2021-10-01,2164802.0,517183.0,121250.0,0.766386341064298,0.9203575184016825
2021-11-01,2037955.0,506242.0,120744.0,0.7473969333178654,0.925893871933099
2021-12-01,1874642.0,499055.0,120131.0,0.6558421769955292,0.9041886234404616
2022-01-01,1875202.0,484952.0,122433.0,0.6737699300798837,0.9154440354606252
2022-02-01,1825363.0,459952.0,114908.0,0.6488682510213674,0.923457777231072
2022-03-01,2174798.0,514255.0,136298.0,0.7978786201937693,0.9243377245999713
2022-04-01,2028796.0,479779.0,131604.0,0.728718166003206,0.9235661659950339
2022-05-01,2233053.0,517711.0,125318.0,0.8000937902932385,0.9264369452267898
2022-06-01,2191691.0,503048.0,130357.0,0.7905580570911073,0.9283797982270914
2022-07-01,2181655.0,497099.0,135819.0,0.7932017390598151,0.9292666503428012
2022-08-01,1995679.0,482009.0,130148.0,0.7300347791981854,0.9261691582876139
2022-09-01,2008489.0,487477.0,131572.0,0.7606854722391065,0.9341998210072411
2022-10-01,2188028.0,506847.0,150786.0,0.8582071142727865,0.9414255112763722
2022-11-01,2178804.0,515525.0,143672.0,0.8578715502932014,0.9425434916655716
